year,time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9,25,36,50,62,2042
1997,199697,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9,23,37,50,64,1923
1998,199798,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9,24,38,52,66,1869
1999,199899,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9,26,42,57,70,1999
2000,199900,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9,24,41,57,70,1944
2001,200001,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,10,27,43,60,73,1956
2002,200102,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,27,44,65,85,2138
2003,200203,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,28,47,69,89,2371
2004,200304,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,28,49,71,90,2660
2005,200405,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,32,54,77,92,2822
2006,200506,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,30,54,76,93,3058
2007,200607,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,12,32,56,77,93,3270
2008,200708,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,14,34,58,80,95,3532
2009,200809,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,13,36,60,82,95,3658
2010,200910,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,15,37,63,84,96,3808
2011,201011,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,36,61,83,97,3495
2012,201112,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,36,63,84,96,3305
2013,201213,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,15,38,64,84,96,3118
